Call Number/ID,image files,image labels,Repository Country,Repository City,Repository Name,Source Collection,Facets,Date (narrative),Date (range) start,Date (range) end,Page dimensions,Note(s),Support Material,Language,Place of origin,Script,Creator,Creator Role,Former Owner,FO Ref,Manuscript Name
Lewis E M 65.2,mcai650021.tif|mcai650022.tif|,Lewis E M 65.2 front|Lewis E M 65.2 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Illumination, Illustration, Fragment",,,,,,,,,,,,,,
Lewis E M 65.3,mcai650031.tif|mcai650032.tif|,Lewis E M 65.3 front|Lewis E M 65.3 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,361 x 521 mm,"Initial V with All Saints | These leaves can be dated to ca. 1430-1440. | This initial begins the first antiphon of Lauds for All Saints (Feb. 2), 'Vidi turbam magnam, quam dinumerare nemo poterat, ex omnibus gentibus stantes ante thronum' (I saw a great multitude which no man could number, out of every nation, standing before the throne). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with a decorated initial from an antiphonary. This side of the leaf, the true recto, contains chants for Matins.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.3,mcai650031.tif|mcai650032.tif|,Lewis E M 65.3 front|Lewis E M 65.3 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Illumination, Illustration, Fragment",,,,,,,,,,,,,,
Lewis E M 65.4,mcai650041.tif|mcai650042.tif|,Lewis E M 65.4 front|Lewis E M 65.4 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,360 x 511 mm,"Initial A with the Presentation in the Temple | These leaves can be dated to ca. 1430-1440. | This initial begins the first response of the first nocturn of Matins for the feast of the Purification of the Virgin (Feb. 2), 'Adorna thalamum tuum Sion et suscipe regem Christum ...' (Adorn your bridal chamber, Sion, and receive Christ the King). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with an historiated initial from an antiphonary. This side of the leaf, the true verso, continues the response that begins on the front.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.4,mcai650041.tif|mcai650042.tif|,Lewis E M 65.4 front|Lewis E M 65.4 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Historiated initial, Fragment",,,,,,,,,,,,,,
Lewis E M 65.5,mcai650051.tif|mcai650052.tif|,Lewis E M 65.5 front|Lewis E M 65.5 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,357 x 517 mm,"Initial D | These leaves can be dated to ca. 1430-1440. | This initial begins the first antiphon of Lauds for the second Sunday in Lent, 'Domine labia mea aperies et os meum annuntiabit laudem tuam.' (O Lord, open my lips and my mouth shall proclaim Your praise). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with a decorated initial from an antiphonary. This side of the leaf is the true recto.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.5,mcai650051.tif|mcai650052.tif|,Lewis E M 65.5 front|Lewis E M 65.5 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Illumination, Illustration, Fragment",,,,,,,,,,,,,,
Lewis E M 65.6,mcai650061.tif|mcai650062.tif|,Lewis E M 65.6 front|Lewis E M 65.6 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,359 x 509 mm,"These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with a decorated initial from an antiphonary. This side of the leaf, the true recto, contains the invitatory for the feast of Mary Magdalene.|Initial M | These leaves can be dated to ca. 1430-1440. | This initial begins the first response of the first nocturn of Matins for the feast of Mary Magdalene (July 22) 'Maria Magdalene at altera Maria ibant diluculo ad monumentum.' (Mary Magdalene and the other Mary went at dawn to the tomb). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.6,mcai650061.tif|mcai650062.tif|,Lewis E M 65.6 front|Lewis E M 65.6 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Illumination, Illustration, Fragment",,,,,,,,,,,,,,
Lewis E M 65.7,mcai650071.tif|mcai650072.tif|,Lewis E M 65.7 front|Lewis E M 65.7 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,359 x 512 mm,"These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with an historiated initial from an antiphonary. This side of the leaf, the true recto, contains the antiphons for first Vespers.|Initial H with the Nativity | These leaves can be dated to ca. 1430-1440. | This initial begins the first response of the first nocturn of Matins for the feast of the Nativity (Dec. 25), 'Hodie nobis caelorum Rex de Virgine nasci dignatus est, ut hominem perditum ad caelestia regna revocaret.' (On this day the King of heaven deigned to be born for us of a Virgin, in order to call fallen men home again to the heavenly kingdom). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.7,mcai650071.tif|mcai650072.tif|,Lewis E M 65.7 front|Lewis E M 65.7 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Historiated initial, Fragment",,,,,,,,,,,,,,
Lewis E M 65.8,mcai650081.tif|mcai650082.tif|,Lewis E M 65.8 front|Lewis E M 65.8 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,359 x 513 mm,"Initial D | These leaves can be dated to ca. 1430-1440. | This initial begins the first response of the first nocturn of Matins for the third Sunday in Lent, 'Dum Josep fratres suos quereret in sichimis illi invidia perculsi de morte eius cogitaverunt' (While Joseph was looking for his brothers in Sychem, they, corrupted by envy, decided to kill him). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with a decorated initial from an antiphonary. This side of the leaf is the true verso.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.8,mcai650081.tif|mcai650082.tif|,Lewis E M 65.8 front|Lewis E M 65.8 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Illumination, Illustration, Fragment",,,,,,,,,,,,,,
Lewis E M 65.9,mcai650091.tif|mcai650092.tif|,Lewis E M 65.9 front|Lewis E M 65.9 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,356 x 511 mm,"Initial F | These leaves can be dated to ca. 1430-1440. | This initial begins the first response of the first nocturn of Matins for the feast of St. Benedict (March 21), 'Florem mundi periturum despexit tam quam aridum' (He despised the flower of the world as perishable and dry). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with a decorated initial from an antiphonary. This side of the leaf, the true recto, contains the antiphons for first Vespers.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.9,mcai650091.tif|mcai650092.tif|,Lewis E M 65.9 front|Lewis E M 65.9 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Illumination, Illustration, Fragment",,,,,,,,,,,,,,
Lewis E M 65.10,mcai650101.tif|mcai650102.tif|,Lewis E M 65.10 front|Lewis E M 65.10 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,357 x 513 mm,"Initial Q | These leaves can be dated to ca. 1430-1440. | This initial begins the first response of the first nocturn of Matins for the Conversion of St. Paul (Jan. 25), 'Qui operatus est pe[tro in apostulatum, operatus est et mihi inter gentes]' (He who worked in Peter for the apostleship also worked in me among the Gentiles). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with an initial from an antiphonary. This side of the leaf, the true recto, includes the chants for First Vespers for the feast that begins on the front of the leaf.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.10,mcai650101.tif|mcai650102.tif|,Lewis E M 65.10 front|Lewis E M 65.10 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Fragment",,,,,,,,,,,,,,
Lewis E M 65.11,mcai650111.tif|mcai650112.tif|,Lewis E M 65.11 front|Lewis E M 65.11 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,357 x 519 mm,"Initial P | These leaves can be dated to ca. 1430-1440. | This initial begins the first response of the first nocturn of Matins for the first Sunday after Pentecost, 'Preparate corde vestra domino et servite illi soli.' (Prepare your hearts for the Lord and serve him only). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with an initial from an antiphonary. This side of the leaf, the true recto, contains chants for First Vespers.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.11,mcai650111.tif|mcai650112.tif|,Lewis E M 65.11 front|Lewis E M 65.11 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Fragment",,,,,,,,,,,,,,
Lewis E M 65.12,mcai650121.tif|mcai650122.tif|,Lewis E M 65.12 front|Lewis E M 65.12 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,358 x 516 mm,"Initial P with St. John the Evangelist | These leaves can be dated to ca. 1430-1440. | This initial begins the first antiphon at Lauds for the of the feast of Sts. Peter and Paul (June 29), 'Petrus et Johannes ascendebant in templum ad horam orationis nonam.' (Peter and John went up to the temple at the ninth hour, the hour of prayer). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with a historiated initial from an antiphonary. This side of the leaf, the true recto, contains a response for Matins, also used for the feast of St. Peter in Chains.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.12,mcai650121.tif|mcai650122.tif|,Lewis E M 65.12 front|Lewis E M 65.12 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Historiated initial, Fragment",,,,,,,,,,,,,,
Lewis E M 65.13,mcai650131.tif|mcai650132.tif|,Lewis E M 65.13 front|Lewis E M 65.13 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,360 x 521 mm,"Initial P | These leaves can be dated to ca. 1430-1440. | This initial begins the first response of the first nocturn of Matins for the feast of the Ascension, 'Post passionem suam per dies quadraginta apparens e[is et loquens de regno dei ...' (For forty days after his Passion he appeared to them and spoke about the kingdom of God). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with a decorated initial from an antiphonary. This side of the leaf, the true recto, contains the invitatory and antiphons for Matins.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.13,mcai650131.tif|mcai650132.tif|,Lewis E M 65.13 front|Lewis E M 65.13 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Illumination, Illustration, Fragment",,,,,,,,,,,,,,
Lewis E M 65.14,mcai650141.tif|mcai650142.tif|,Lewis E M 65.14 front|Lewis E M 65.14 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,355 x 517 mm,"Initial Q with the Annunciation to the Shepherds | These leaves can be dated to ca. 1430-1440. | This initial begins the first antiphon at Lauds for Christmas (Dec. 25), 'Quem vidistis pastores dicite annunciate nobis in terries quis apparuit' (What do you see, shepherds Tell us, announce to us, who has appeared on earth). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with an historiated initial from an antiphonary. This side of the leaf, the true verso, continues the antiphons for Lauds.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.14,mcai650141.tif|mcai650142.tif|,Lewis E M 65.14 front|Lewis E M 65.14 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Historiated initial, Fragment",,,,,,,,,,,,,,
Lewis E M 65.15,mcai650151.tif|mcai650152.tif|,Lewis E M 65.15 front|Lewis E M 65.15 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,360 x 510 mm,"Initial M | These leaves can be dated to ca. 1430-1440. | This initial begins the first antiphon at Lauds for the feast of the Annunciation to the Virgin (March 25), 'Missus est Gabriel Angelus ad Mariam Virginem desponsatam Joseph.' (The angel Gabriel was sent to the Virgin Mary betrothed to Joseph).Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with an initial from an antiphonary. This side of the leaf, the true verso, continues the antiphons for Lauds.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.15,mcai650151.tif|mcai650152.tif|,Lewis E M 65.15 front|Lewis E M 65.15 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Fragment",,,,,,,,,,,,,,
Lewis E M 65.16,mcai650161.tif|mcai650162.tif|,Lewis E M 65.16 front|Lewis E M 65.16 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,352 x 517 mm,"Initial T | These leaves can be dated to ca. 1430-1440. | This initial begins the first antiphon at Lauds for the fourth Sunday in Lent, 'Tunc acceptabis sacrificium justitiae si averteris faciem tuam a peccatis meis.' (Then you will receive just sacrifices, if you would turn your face away from my sins). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with an initial from an antiphonary. This side of the leaf, the true recto, contains responses for Matins for the feast that begins on the front of the leaf.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.16,mcai650161.tif|mcai650162.tif|,Lewis E M 65.16 front|Lewis E M 65.16 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Fragment",,,,,,,,,,,,,,
Lewis E M 65.17,mcai650171.tif|mcai650172.tif|,Lewis E M 65.17 front|Lewis E M 65.17 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,352 x 514 mm,"Initial L with St. Stephen | These leaves can be dated to ca. 1430-1440. | This initial begins the first antiphon at Lauds for the feast of St. Stephen (Dec. 26), 'Lapidaverunt stephanum et ipse invocabat dominu[m].' (They stoned Stephen and he called upon the Lord.) On the scroll in the image: 'Ecce video celos apertos et i[esum]' (Behold I see the heavens open and Jesus). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with an historiated initial from an antiphonary. This side of the leaf, the true verso, continues the antiphons for Lauds.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.17,mcai650171.tif|mcai650172.tif|,Lewis E M 65.17 front|Lewis E M 65.17 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Historiated initial, Fragment",,,,,,,,,,,,,,
Lewis E M 65.18,mcai650181.tif|mcai650182.tif|,Lewis E M 65.18 front|Lewis E M 65.18 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,354 x 515 mm,"Initial I | These leaves can be dated to ca. 1430-1440. | This initial begins the first response of the first nocturn of Matins for Passion Sunday, 'Isti sunt dies quos observare debetis temporibus suis.' (These are the days that you should observe in their season). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with a decorated initial from an antiphonary. This side of the leaf, the true recto, includes chants for First Vespers and Matins for the feast day that begins on the front of the leaf.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.18,mcai650181.tif|mcai650182.tif|,Lewis E M 65.18 front|Lewis E M 65.18 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Illumination, Illustration, Fragment",,,,,,,,,,,,,,
Lewis E M 65.19,mcai650191.tif|mcai650192.tif|,Lewis E M 65.19 front|Lewis E M 65.19 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,361 x 511 mm,"Initial F | These leaves can be dated to ca. 1430-1440. | This initial begins the first response of the first nocturn of Matins for the Birth of John the Baptist (June 24), 'Fuit homo missus a deo cui nome[n] johan[n]es e[rat].' (A man whose name was John was sent from God). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with a decorated initial from an antiphonary. This side of the leaf, the true verso, continues the chants for Matins.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.19,mcai650191.tif|mcai650192.tif|,Lewis E M 65.19 front|Lewis E M 65.19 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Illumination, Illustration, Fragment",,,,,,,,,,,,,,
Lewis E M 65.20,mcai650201.tif|mcai650202.tif|,Lewis E M 65.20 front|Lewis E M 65.20 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,359 x 511 mm,"Initial E | These leaves can be dated to ca. 1430-1440. | This initial begins the first antiphon at Lauds for the feast of the Birth John the Baptist (June 24), 'Elyzabeth zachariae magnum virum genuit johannem baptistam precursorem domini.' (Elizabeth [wife] of Zachary gave birth to John the Baptist, a great man and precursor of the Lord). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with an initial from an antiphonary. This side of the leaf, the true recto, contains chants for Matins of the same feast as that on the front of the leaf.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.20,mcai650201.tif|mcai650202.tif|,Lewis E M 65.20 front|Lewis E M 65.20 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Fragment",,,,,,,,,,,,,,
Lewis E M 65.21,mcai650211.tif|mcai650212.tif|,Lewis E M 65.21 front|Lewis E M 65.21 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,354 x 515 mm,"Initial V | These leaves can be dated to ca. 1430-1440. | This initial begins first antiphon for Lauds of the feast of St. John the Evangelist (Dec. 27), 'Valde honorandus est beatus Iohannes qui suprapectus Domini in cena recubuit' (Very honorable is the blessed John, for during supper he reclined on the breast of the Lord). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with a decorated initial from an antiphonary.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.21,mcai650211.tif|mcai650212.tif|,Lewis E M 65.21 front|Lewis E M 65.21 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Illumination, Illustration, Fragment",,,,,,,,,,,,,,
Lewis E M 65.22,mcai650221.tif|mcai650222.tif|,Lewis E M 65.22 front|Lewis E M 65.22 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,358 x 515 mm,"Initial C | These leaves can be dated to ca. 1430-1440. | This initial begins the first response of the first nocturn of Matins for the feast of the Holy Innocents (Dec. 28), 'Centum quadraginta quatuor milia qui empti sunt de terra hi sunt qui cum mulieribus non sunt coinquinati' (The hundred and forty-four thousand who were redeemed from the earth are those who were not defiled by women). Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with a decorated initial from an antiphonary. This side of the leaf is the true recto.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.22,mcai650221.tif|mcai650222.tif|,Lewis E M 65.22 front|Lewis E M 65.22 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Illumination, Illustration, Fragment",,,,,,,,,,,,,,
Lewis E M 65.23,mcai650231.tif|mcai650232.tif|,Lewis E M 65.23 front|Lewis E M 65.23 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1425,1450,358 x 511 mm,"Initial E | These leaves can be dated to ca. 1430-1440. | This initial begins the first response of the first nocturn of Matins for the feast of the Circumcision (Jan. 1), 'Ecce Angus Dei qui tollit peccata mundi' (Behold the Lamb of God who takes away the sins of the world).Lewis E M 65:1-78 were once thought to have come from a single manuscript associated with the Cistercian monastery at Zwettl in Austria. It has been determined, however, that the leaves are from a number of separate manuscripts and were likely produced by a team of scribes and artists at the scriptorium of the Benedictine monastery at Melk.|These leaves can be dated to ca. 1430-1440. | This image shows the reverse of a leaf with a decorated initial from an antiphonary.|",Parchment,Latin,"Melk, Austria",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 65.23,mcai650231.tif|mcai650232.tif|,Lewis E M 65.23 front|Lewis E M 65.23 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Liturgy, Austrian, Austria, Illumination, Illustration, Fragment",,,,,,,,,,,,,,
